語                初出t 初出者  使用者数  使用者（生存最終t）
仮説                 5 ミナ      6  ケイ,サト,ハル,ミナ,ユキ,リン (t18)
ト説                11 ミナ      4  ケイ,ハル,ミナ,リン (t20)
連続A回数依存説           8 ハル      3  サト,ハル,ユキ (t16)
行動直後依存説           10 ハル      3  ハル,ミナ,ユキ (t11)
ン説                12 ケイ      3  ケイ,ハル,ミナ (t14)
行動依存説              8 リン      2  ハル,リン (t9)
の連続A回数依存説         13 ミナ      2  ハル,ミナ (t14)
て連続A回数依存説         13 ユキ      2  サト,ユキ (t14)
